id,created_at,user_screen_name,user_location,user_description,full_text
1537165510890049537,2022-06-15 20:09:51+00:00,Ragcha,"Los Angeles, CA",Solar panel canopies & EV chargers in public parking lots will save the world.,"RT @Ragcha: @cleantechnica These are weak targets. Hawai’i, Guam, American Samoa and Puerto Rico should be supported for 100% renewable ene…"
1537165412114259969,2022-06-15 20:09:28+00:00,Mrtomtom15250,,Proud Ultra Maga  4 saving Republic from socialist dems & their news media owned by billionaires -Twitter cut me off & lost  followers --GETTR @Mrtomtom   FJB,@lalauraru777 @MailOnline You fu**ing fool ! You green energy people could increase renewable energy tenfold and it would still not be enough to meet the US energy needs !  #ClimateHoax #ClimateCrisis #ClimateAction #DemVoice1 https://t.co/r7kgMd7f2D
1537165365410779137,2022-06-15 20:09:16+00:00,GuteBule,,"#panAfricanist 🇪🇹patriot.
#UnitForEthiopi
BSC,MPH 
Father, Hasband,
social issue concern","Just 17% of the world’s population, Africa contribs to only 4% of global energy investment. Reliable electricity supply in Africa requires &gt; $120B /yr investment in energy thru 2040. 🇪🇹 is self-financing the future of Africa's renewable energy. #GERD  https://t.co/bjnMLFhnFH"
1537165355969302529,2022-06-15 20:09:14+00:00,mining,"Vancouver, B.C., Canada",News feed from your global mining news source. Have a tip? Want to reach out? Contact us at @frikels or @ceciliajamasmie.,"The London-based energy giant will add a 40.5% interest in the Asian Renewable Energy Hub, which was previously estimated to cost about $36 billion. 

https://t.co/08mNyaloeX"
1537165305059098624,2022-06-15 20:09:02+00:00,kaliasne,"Addis Ababa, Ethiopia",,RT @IbroEthio: Over 90% of Ethiopian households depend on firewood for energy which contributes to deforestation &amp; climate change. When Eth…
1537165298364829696,2022-06-15 20:09:00+00:00,climatejobsri,"Providence, Rhode Island","A growing coalition of labor, environmental, and community partners advocating for a just transition to a pro-worker and pro-climate green economy in RI.","Yesterday #RI became one step closer to becoming a national leader in cleaning up its electric supply. Thank you @DebRuggiero4LG @RISpeaker and @RIHouseofReps for passing 100% Renewable Energy (56-13)! Check out the piece below, thx @FitzProv via @BostonGlobe https://t.co/I8OzxG1Ge5"
1537165282900336640,2022-06-15 20:08:57+00:00,At7dwarfs,,General News General News Science & Technology General News Science & Technology,"RT @PeterDClack: The idea of renewable or green energy was spread around the world by the United Nations, aided by meteorology agencies. Po…"
1537165248926449664,2022-06-15 20:08:49+00:00,unclear_edge,UK,Nebulous matter in constant flux  🌿 (she/her),"RT @shiv_teaching: Wow! In South Korea, solar panels in the middle of a highway have a bicycle path underneath.
Cyclists are protected from…"
1537165247638695937,2022-06-15 20:08:48+00:00,CarburnPk,Canada,,"RT @TheVotersSay: High gas prices don't make renewable energy affordable.

They just make conventional fuel un-affordable.

https://t.co/mA…"
1537165224079462401,2022-06-15 20:08:43+00:00,yttocsline96,Wales Cymru 🏴󠁧󠁢󠁷󠁬󠁳󠁿,,"RT @Plaid_Cymru: Wales has a vast amount of natural wealth, which should be used to benefit our communities and our environment.

Plaid Cym…"
1537165191342743552,2022-06-15 20:08:35+00:00,RenewableSearch,"Hartford, CT","VP of North American Sales at KORE Power. Previous, Founder of Renewable Search, Talon Rescue and BostonOnline.","US DOE to Support Clean Energy Transition in 12 Remote &amp; Island Communities: WASHINGTON, D.C. — The U.S. Department of Energy (DOE) today announced it will work with 12 competitively selected remote and island communities around the… https://t.co/bcvevySKAe #Renewable #Energy https://t.co/393xaWirOA"
